TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,arandr,is a UI for screen adjustment
,atool,manages and gives information about archives
,base-devel,is a group package with sudo and compilation software
,bash,The GNU Bourne Again shell
,bash-completion,
,calcurse,is a lightweight terminal-based calendar
,chromium,Access the Internet
,compton,for transparency and removing screen-tearing
,cronie,manages scheduled tasks
,cups-pdf,pdf printer for cups
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,fzf,is a fuzzy finder tool
,gftp,FTP client
,gimp,Paint
,git,is a version control system
,gnome-keyring,serves as the system keyring
,gnu-netcat,
,gparted,
,gvim,provides a build of vim with the ability to copy and paste between other programs
,highlight,can highlight code output
,hplib,HP device manager (for printer)
,htop,provides system usage information and displays processes
G,https://github.com/alexanderjeurissen/ranger_devicons.git,gives folder and file icons in ranger
,i3-gaps,is the main graphical user interface and window manager
,i3lock,is the screen lock
,mediainfo,shows audio and video information and is used by ranger as well
,mpc,is a terminal interface for mpd
,mpd,is a lightweight music daemon
,mpv,is the patrician's choice video/gif player
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,networkmanager,does exactly what it sounds like
,noto-fonts,
,noto-fonts-cjk,
,noto-fonts-emoji,
,noto-fonts-extra,
,ntfs-3g,allows accessing NTFS partitions
,pamixer,is a terminal audio control interface
,pandoc,
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pulsemixer,is an intuitive ncurses audio controller
,python-pywal,generates color schemes based on your wallpaper
,r,R 
,ranger,is an extensive terminal file manager that everyone likes
A,sc-im,is an Excel-like terminal spreadsheet manager
,screenfetch ,
,scrot,can take quick screenshots at your request
,system-config-printer,
A,task-spooler,queues commands or files for download
,texlive-core,
,texlive-latexextra,
,tlp,
,tmux,is a terminal multiplexer and the dropdown window in LARBS
A,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,ttf-inconsolata,is the monospace font of LARBS
,ttf-linux-libertine,provides the sans and serif fonts for LARBS
A,unclutter-xfixes-git,hides an inactive mouse
,unrar,extracts rar's
,unzip,unzips zips
A,urlview,parses URLs in the terminal allowing keyboard-based selection
A,vim-pathogen,manages vim plugins
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xcape,gives the special escape/super mappings of LARBS
,xdotool,provides window action utilities on the command line.
,xfce4-battery-plugin,
,xfce4-clipman-plugin,
,xfce4-datetime-plugin,
,xfce4-panel,"The Xfce panel, to use as a status bar"
,xfce4-pulseaudio-plugin,
,xfce4-screenshooter,
,xfce4-whiskermenu-plugin,
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xinit,starts the graphical server
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,youtube-viewer,is a terminal interface for watching YouTube videos without a browser
,zathura,is a pdf viewer with vim-like bindings
,zathura-djvu,gives zathura the ability to read .djvu files
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura
,xfce4-terminal,
