TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,i3-gaps,is the main graphical user interface and window manager
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xinit,starts the graphical server
A,yay,aurhelper
,arandr,is a UI for screen adjustment
,bash-completion,
,chromium,Access the Internet
,compton,for transparency and removing screen-tearing
,cups-pdf,pdf printer for cups
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,gftp,FTP client
,gimp,Paint
,gnome-keyring,serves as the system keyring
,gnu-netcat,
,gparted,
,highlight,can highlight code output
,hplib,HP device manager (for printer)
,htop,provides system usage information and displays processes
,i3lock,is the screen lock
,mpv,is the patrician's choice video/gif player
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,networkmanager,does exactly what it sounds like
,noto-fonts,
,noto-fonts-cjk,
,noto-fonts-emoji,
,noto-fonts-extra,
,ntfs-3g,allows accessing NTFS partitions
,pamixer,is a terminal audio control interface
,pandoc,
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pulsemixer,is an intuitive ncurses audio controller
,pavucontrol,pulseaudio volume control
,r,R 
,screenfetch,
,scrot,can take quick screenshots at your request
,texlive-core,
,texlive-latexextra,
,tlp,
A,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,unclutter,hides an inactive mouse
,unrar,extracts rar's
,unzip,unzips zips
,wget,downloads sites and files on the command line
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,xfce4-terminal,
A,visual-studio-code-bin, VSCode
,jq,Command-line JSON processor
,browserpass,passwordmanager in browser
,browserpass-chromium,passwordmanager in browser
,pass,passwordmanager
,acpi,Client for battery, power, and thermal readings
,imagemagick,image manipulation
,transmission-gtk,torrents
,awesome-terminal-fonts,awesome fonts
,awesome,window manager
